author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/307361899/;Москва;sale;flat;12;12;2;52.2;10100000;Бирюлево Восточное;Лебедянская ;23;Лебедянская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/306131613/;Москва;sale;flat;14;25;2;44.0;10100000;; Москвитина;5к4;Рассказовка;Город-парк Первый Московский
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/304589303/;Москва;sale;flat;5;8;1;38.5;10050000;Соколиная гора;Окружной проезд;15;Измайлово;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308560480/;Москва;sale;flat;16;17;1;38.5;10200000;; Летчика Грицевца;12;Пыхтино;Солнцево парк
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308016731/;Москва;sale;flat;2;4;1;20.5;10200000;Басманный; Радио;14С1;Бауманская;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/307530002/;Москва;sale;flat;13;17;1;42.2;10200000;;;6;Аэропорт Внуково;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/305283165/;Москва;sale;flat;16;17;1;37.1;10299000;Марьино; Перерва;33;Братиславская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/304380466/;Москва;sale;flat;1;4;1;30.2;10300000;Текстильщики;Саратовская ;12/2;Текстильщики;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/302855087/;Москва;sale;flat;10;12;1;38.7;10299999;Люблино; Маршала Кожедуба;16К1;Люблино;
Денис Циликин;realtor;https://www.cian.ru/sale/flat/308071877/;Москва;sale;flat;12;12;1;40.0;10299999;Южное Медведково;Заповедная ;8К1;Свиблово;
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/307823252/;Москва;sale;flat;2;9;2;44.0;10300000;Печатники;Шоссейная ;60;Депо;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/307895238/;Москва;sale;flat;7;17;1;37.9;10399999;Братеево; Борисовские Пруды;20К1;Борисово;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/305246392/;Москва;sale;flat;3;17;1;35.8;10399999;Марьино;Братиславская ;5;Братиславская;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/308794933/;Москва;sale;flat;3;9;1;35.0;10500000;Отрадное; Бестужевых;12Б;Отрадное;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/308419722/;Москва;sale;flat;5;12;1;36.0;10500000;Восточное Измайлово;Средняя Первомайская ;36К1;Первомайская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/305186616/;Москва;sale;flat;9;12;2;38.3;10499999;Капотня;4-й кв-л;3;Братиславская;
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/307133611/;Москва;sale;flat;6;9;1;36.1;10500000;; Лобановский Лес;9;Прокшино;Прокшино
ID 96238804;homeowner;https://www.cian.ru/sale/flat/308706937/;Москва;sale;flat;2;17;1;36.0;10500000;Митино;Волоцкой переулок;7К1;Митино;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/306466602/;Москва;sale;flat;12;17;1;38.1;10600000;;;20;Бачуринская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/302880076/;Москва;sale;flat;7;35;1;37.8;10600000;Ярославский;проспект Мира;222/2;Ростокино;МИРАПОЛИС
ЕСН;real_estate_agent;https://www.cian.ru/sale/flat/308803330/;Москва;sale;flat;5;14;1;25.0;10714000;Западное Дегунино;Дегунинская ;4к1;Селигерская;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/308366992/;Москва;sale;flat;3;21;1;43.9;10650000;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/304516413/;Москва;sale;flat;1;12;2;38.2;10700000;Черемушки; Каховка;22К5;Зюзино;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308418748/;Москва;sale;flat;18;18;1;41.1;10800000;; Александры Монаховой;88к3;Потапово;Бунинские луга
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308629637/;Москва;sale;flat;18;18;2;41.1;10800000;; Александры Монаховой;88к3;Потапово;Бунинские луга
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/308825799/;Москва;sale;flat;8;9;1;32.5;10800000;Тимирязевский; Костякова;2/6;Дмитровская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307649528/;Москва;sale;flat;2;12;1;36.5;10990000;Черемушки; Обручева;37;Калужская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307484022/;Москва;sale;flat;3;5;2;40.5;10900000;Люблино;Новороссийская ;15;Люблино;
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/308712561/;Москва;sale;flat;13;16;2;61.4;19300000;Преображенское;Большая Черкизовская ;3К2;Преображенская площадь;
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/306836905/;Москва;sale;flat;3;20;1;40.5;19500000;Бутырский;Новодмитровская ;2к4;Дмитровская;Савеловский Сити
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/305734105/;Москва;sale;flat;4;4;2;53.7;19500000;Сокольники;Большая Остроумовская ;11К2;Сокольники;
FALCON GROUP;real_estate_agent;https://www.cian.ru/sale/flat/308453701/;Москва;sale;flat;17;25;1;50.0;19500000;Хорошево-Мневники;бульвар Генерала Карбышева;16;Бульвар Генерала Карбышева;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/303005869/;Москва;sale;flat;11;27;1;36.3;19500000;Хорошево-Мневники;Шелепихинская набережная;42к3;Полежаевская;FreeDOM
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/308850422/;Москва;sale;flat;14;32;1;33.4;19500000;Хорошево-Мневники;Причальный проезд;8к1;Шелепиха;Level Причальный
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/304528440/;Москва;sale;flat;1;13;2;50.5;19490000;Гагаринский;проспект 60-летия Октября;5К2;Ленинский проспект;
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/301894697/;Москва;sale;flat;22;46;1;42.5;19480000;Обручевский; Академика Волгина;2С1;Калужская;Архитектор
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/308294306/;Москва;sale;flat;7;7;2;58.3;19500000;Щукино; Маршала Бирюзова;7;Октябрьское поле;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/305275429/;Москва;sale;flat;5;10;1;46.3;19500000;Даниловский;проспект Лихачева;20;Технопарк;Nagatino i-Land
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/296918363/;Москва;sale;flat;24;30;2;47.0;19500000;Покровское-Стрешнево;Строительный проезд;9С6;Трикотажная;Sky Garden
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308520484/;Москва;sale;flat;14;17;2;51.2;19900000;Тропарево-Никулино; Академика Анохина;5К4;Юго-Западная;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/305393019/;Москва;sale;flat;8;14;1;41.4;19900000;Лефортово;проезд Шелихова;3;Площадь Ильича;Символ
Эксклюзив Хоум;real_estate_agent;https://www.cian.ru/sale/flat/304022551/;Москва;sale;flat;7;21;1;47.5;19999000;Сокольники; Сокольнический Вал;3;Рижская;Резиденция Сокольники
Landis;real_estate_agent;https://www.cian.ru/sale/flat/308187659/;Москва;sale;flat;14;20;1;41.7;20000000;Даниловский;проспект Лихачева;18к1;Технопарк;Квартал на набережной NOW
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/308900543/;Москва;sale;flat;9;9;2;60.0;20000000;Куркино;Ландышевая ;12;Химки;
CENTURY 21 RnB Estate;real_estate_agent;https://www.cian.ru/sale/flat/308552991/;Москва;sale;flat;8;52;2;43.0;20000000;Покровское-Стрешнево;Волоколамское шоссе;95/2к7;Трикотажная;City Bay
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/308645005/;Москва;sale;flat;14;14;2;58.7;20000000;Лефортово;Волочаевская ;15;Серп и Молот;
GLINCOM;official_representative;https://www.cian.ru/sale/flat/308877086/;Москва;sale;flat;2;8;1;42.2;20000000;Савеловский; Верхняя Масловка;20;Петровский Парк;Verdi
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/302923099/;Москва;sale;flat;15;27;1;36.3;20000000;Хорошево-Мневники;Шелепихинская набережная;42к2;Полежаевская;FreeDOM
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/303028414/;Москва;sale;flat;12;29;1;36.0;20000000;Хорошево-Мневники;Шелепихинская набережная;40к2;Шелепиха;Sydney City
АЛинвест;real_estate_agent;https://www.cian.ru/sale/flat/296923306/;Москва;sale;flat;3;22;2;62.0;20000000;Бескудниковский;Бескудниковский бульвар;52к1;Яхромская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303177389/;Москва;sale;flat;21;38;1;41.5;20250000;Котловка;Севастопольский проспект;22А;Крымская;Eniteo
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/308222722/;Москва;sale;flat;5;39;1;36.7;20300000;Ростокино; Вильгельма Пика;3;Ботанический сад;Режиссёр
Спартак;developer;https://www.cian.ru/sale/flat/297413640/;Москва;sale;flat;11;14;2;69.2;20272140;Ясенево;Новоясеневский проспект;3В;Тёплый Стан;Комплекс апартаментов LES
Спартак;developer;https://www.cian.ru/sale/flat/297680771/;Москва;sale;flat;13;14;2;68.0;20352400;Ясенево;Новоясеневский проспект;3В;Тёплый Стан;Комплекс апартаментов LES
Сергей Ванин;realtor;https://www.cian.ru/sale/flat/307874137/;Москва;sale;flat;8;17;2;53.9;20500000;Тропарево-Никулино;Ленинский проспект;156;Юго-Западная;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/308744978/;Москва;sale;flat;5;17;2;53.8;20500000;Коньково; Введенского;24К2;Беляево;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/301255231/;Москва;sale;flat;3;6;2;72.0;92690000;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/301356296/;Москва;sale;flat;5;7;2;66.2;93391500;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Prime;real_estate_agent;https://www.cian.ru/sale/flat/308801550/;Москва;sale;flat;48;65;2;84.07;100883999;Пресненский;Краснопресненская набережная;14Ак2;Москва-Сити;Capital Towers
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/304329886/;Москва;sale;flat;5;8;2;77.2;100000000;Якиманка;Софийская набережная;34;Новокузнецкая;Софийский
ID 413522;realtor;https://www.cian.ru/sale/flat/307093145/;Москва;sale;flat;3;18;2;94.1;103000000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Alpha Star Properties;real_estate_agent;https://www.cian.ru/sale/flat/293921344/;Москва;sale;flat;14;14;2;124.0;106068561;Дорогомилово;набережная Тараса Шевченко;1;Киевская;
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/299216001/;Москва;sale;flat;72;78;2;78.0;106050000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Hutton Development;developer;https://www.cian.ru/sale/flat/303616408/;Москва;sale;flat;2;6;1;49.6;109120000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/299215175/;Москва;sale;flat;59;68;2;86.0;109350000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
ID 413522;realtor;https://www.cian.ru/sale/flat/304483795/;Москва;sale;flat;11;14;2;83.6;109800000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Sellers Team;real_estate_agent;https://www.cian.ru/sale/flat/308937518/;Москва;sale;flat;5;7;2;92.0;119990000;Арбат;1-й Смоленский переулок;21;Смоленская;Smolensky De Luxe
Webster;real_estate_agent;https://www.cian.ru/sale/flat/308303950/;Москва;sale;flat;3;9;2;91.6;119920000;Тверской;Большой Каретный переулок;24с2;Цветной бульвар;Каретный плаза
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/308443900/;Москва;sale;flat;3;7;2;117.2;125000000;Арбат;Староконюшенный переулок;45;Арбатская;Клубный дом на Арбате
Центрис;real_estate_agent;https://www.cian.ru/sale/flat/304330288/;Москва;sale;flat;9;15;2;97.25;126500000;Хамовники; Усачева;15;Спортивная;Садовые кварталы
ID 413522;realtor;https://www.cian.ru/sale/flat/306658310/;Москва;sale;flat;12;21;1;106.2;128000000;Пресненский;Мантулинская ;9к1;Москва-Сити;City Park
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/304329798/;Москва;sale;flat;6;7;2;94.0;130000000;Хамовники; Льва Толстого;23С5;Парк Культуры;Литератор
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/297454391/;Москва;sale;flat;23;73;2;218.9;133026810;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/307204125/;Москва;sale;flat;9;14;2;99.71;133800000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Центрис;real_estate_agent;https://www.cian.ru/sale/flat/306276198/;Москва;sale;flat;9;14;2;99.71;134900000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
ID 413522;realtor;https://www.cian.ru/sale/flat/304329887/;Москва;sale;flat;9;14;2;99.71;135000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/300006052/;Москва;sale;flat;2;5;2;103.0;139000000;Тверской;Никольская ;10/2С2б;Лубянка;St. Nickolas
;;https://www.cian.ru/sale/flat/285925205/;Москва;sale;flat;4;9;2;75.3;139734210;Хамовники;2-й Неопалимовский переулок;3;Парк Культуры;Клубный особняк High Garden
Аврора Проперти;real_estate_agent;https://www.cian.ru/sale/flat/308799406/;Москва;sale;flat;33;75;2;119.0;145000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/295368581/;Москва;sale;flat;3;9;2;135.4;145000000;Якиманка; Малая Полянка;2;Полянка;Онегин
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/308228544/;Москва;sale;flat;8;8;2;101.61;147300000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/304330062/;Москва;sale;flat;8;8;2;101.61;150000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/306942234/;Москва;sale;flat;4;14;1;106.9;160350000;Хамовники;переулок 1-й Тружеников;16;Киевская;Brodsky
;;https://www.cian.ru/sale/flat/285924533/;Москва;sale;flat;4;9;2;87.9;163116030;Хамовники;2-й Неопалимовский переулок;3;Парк Культуры;Клубный особняк High Garden
