?????;??? ??????;??????;???????;????;????????? ????;?????????? ??????;????? ???????;????;???? ????? ???????;??? ????????? ????;??? ???????;????? ??????;?????? ?????;?????;?????;????? ????;?????
???????????? ???????-7;??????????;https://kostroma.cian.ru/sale/flat/302819011/;????????;7;9;1;40,5;4 009 500,00 ?;2024;;??? ???????;;;???. ????????????; ???????;8?;
??????????;????? ?? ????????????;https://kostroma.cian.ru/sale/flat/307140776/;????????;4;9;1;41,0;5 999 000,00 ?;2024;;;14,7 ?²;14,6 ?²;????????;??????????? ;8?;
????????????????;??????????;https://kostroma.cian.ru/sale/flat/304841218/;????????;5;8;1;37,0;3 750 000,00 ?;2024;;??? ???????;;;????????; ?????????;19;
????????????????;??????????;https://kostroma.cian.ru/sale/flat/304841222/;????????;5;8;1;34,2;3 600 000,00 ?;2024;;??? ???????;;;????????; ?????????;19;
????????????????;??????????;https://kostroma.cian.ru/sale/flat/304848206/;????????;2;4;1;35,4;5 000 000,00 ?;2024;;??? ???????;;;????????; ?????????;118?;
????????????????;??????????;https://kostroma.cian.ru/sale/flat/303336078/;????????;7;8;1;48,2;4 550 000,00 ?;2024;;??? ???????;;;????????; ?????????;19;
????????????????;??????????;https://kostroma.cian.ru/sale/flat/303336095/;????????;1;4;1;44,0;7 250 000,00 ?;2024;;??? ???????;;;????????; ?????????;118?;
;;https://kostroma.cian.ru/sale/flat/308115799/;????????;5;9;1;48,7;4 175 000,00 ?;2024;;;;;????????; ?????????? ?????????;8;
;;https://kostroma.cian.ru/sale/flat/308115798/;????????;9;9;1;47,0;4 275 000,00 ?;2024;;;;;????????; ?????????? ?????????;8;
;;https://kostroma.cian.ru/sale/flat/308115813/;????????;5;9;1;44,7;4 225 000,00 ?;2024;;;;;????????; ?????????? ?????????;8;
;;https://kostroma.cian.ru/sale/flat/303130631/;????????;2;4;1;35,7;3 404 826,00 ?;2024;;;;;????????;?????????? ;100?;
????? ????????;????? ?? ????????????;https://kostroma.cian.ru/sale/flat/308608019/;????????;2;9;1;34,4;4 200 000,00 ?;2024;;;17 ?²;10,3 ?²;????????; ????????? ?????????;9;
;;https://kostroma.cian.ru/sale/flat/303130634/;????????;3;4;1;37,6;3 666 000,00 ?;2024;;;;;????????;?????????? ;100?;
?????;????? ?? ????????????;https://kostroma.cian.ru/sale/flat/306729068/;????????;5;8;1;43,0;3 844 000,00 ?;2024;;;20 ?²;11 ?²;????????;???????????? ????????;9;
????? ????????;????? ?? ????????????;https://kostroma.cian.ru/sale/flat/308611789/;????????;3;3;1;43,0;3 600 000,00 ?;2024;;;29 ?²;9 ?²;????????; ??????????????;58;
?????;????? ?? ????????????;https://kostroma.cian.ru/sale/flat/308953689/;????????;2;3;1;52,0;7 790 000,00 ?;2024;;;16 ?²;18 ?²;????????;??????? ;46;
????? ????????;????? ?? ????????????;https://kostroma.cian.ru/sale/flat/308610835/;????????;1;3;1;35,3;3 480 000,00 ?;2024;;??? ???????;16,5 ?²;9,5 ?²;????????; ??????????????;58;
??????-????????????;????? ?? ????????????;https://kostroma.cian.ru/sale/flat/308547525/;????????;4;9;1;39,3;3 900 000,00 ?;2024;;;15 ?²;14 ?²;????????;?????????????? ;24?;
????????????????;??????????;https://kostroma.cian.ru/sale/flat/300098088/;????????;4;5;2;58,1;5 692 820,00 ?;2024;?????????;??? ???????;;;????????;?????? 1-? ???????????;18;
;;https://kostroma.cian.ru/sale/flat/308115815/;????????;9;9;2;73,0;6 335 000,00 ?;2024;;;;;????????; ?????????? ?????????;8;
????????????????;??????????;https://kostroma.cian.ru/sale/flat/300098077/;????????;4;5;3;78,8;7 487 900,00 ?;2024;?????????;??? ???????;;;????????;?????? 1-? ???????????;18;
????????????????;??????????;https://kostroma.cian.ru/sale/flat/303336102/;????????;4;4;3;72,0;12 050 000,00 ?;2024;;??? ???????;;;????????; ?????????;118?;
Dream Realty;????? ?? ????????????;https://vidnoye.cian.ru/sale/flat/307996713/;??????;16;18;1;40,9;5 900 000,00 ?;2024;;;18 ?²;12 ?²;; ????????;3;?????????????
?????? ?????;????? ?? ????????????;https://solnechnogorsk.cian.ru/sale/flat/299181648/;?????????????;6;9;1;19,8;2 700 000,00 ?;2024;;??? ???????;9,7 ?²;5 ?²;;;;
?????? ????;??????????;https://noginsk.cian.ru/sale/flat/304429381/;???????;4;17;;33,8;6 039 000,00 ?;2024;;????????;;;???????; ?????????;4?;
R-invest;??????????;https://shchyolkovo.cian.ru/sale/flat/307945981/;???????;1;17;1;34,4;6 354 300,00 ?;2024;?????????-?????????;??? ???????;13,5 ?²;12,3 ?²;;??????? ;4?;?????????
????????? ???????????? ??????? ?????????;????? ?? ????????????;https://www.cian.ru/sale/flat/306452802/;??????-??????????;1;7;2;52,8;6 300 000,00 ?;2024;;;30,3 ?²;10 ?²;?????? ??; ???????? ??????????;7;
??????;??????????;https://odintsovo.cian.ru/sale/flat/303626645/;????????;1;4;;202,0;8 508 000,00 ?;2024;?????????-?????????, ??????????, ?????????;??? ???????, ????????????, ????????;24,4 ?²;;;;;
?????????? 15;??????????;https://vidnoye.cian.ru/sale/flat/306174966/;??????;2;6;;24,3;4 471 830,00 ?;2024;?????????-?????????;??? ???????, ????????????;;;;???????? ;15?1;?????
AUTHOR DEVELOPMENT;??????????;https://khotkovo.cian.ru/sale/flat/303713307/;????????;7;9;1;29,7;4 250 070,00 ?;2024;?????????-?????????;??? ???????, ????????;;11,6 ?²;????????; ????????;25?7;
?????? ????;??????????;https://noginsk.cian.ru/sale/flat/304429434/;???????;2;17;;27,1;4 216 000,00 ?;2024;;????????????;;;???????; ?????????;4?;
;;https://voskresensk.cian.ru/sale/flat/308383752/;???????????;1;5;1;34,8;4 524 000,00 ?;2024;;;;;???????????; ??????????;113;
;;https://voskresensk.cian.ru/sale/flat/308383707/;???????????;3;5;1;29,2;3 095 200,00 ?;2024;;;;;???????????; ??????????;113;
;;https://voskresensk.cian.ru/sale/flat/308383723/;???????????;4;5;1;34,4;3 508 800,00 ?;2024;;;;;???????????; ??????????;113;
;;https://voskresensk.cian.ru/sale/flat/308383741/;???????????;3;5;1;15,4;2 356 200,00 ?;2024;;;;;???????????; ??????????;113;
;;https://voskresensk.cian.ru/sale/flat/308383719/;???????????;4;5;1;47,2;4 720 000,00 ?;2024;;;;;???????????; ??????????;113;
;;https://voskresensk.cian.ru/sale/flat/308383698/;???????????;1;5;1;43,4;4 383 400,00 ?;2024;;;;;???????????; ??????????;113;
ID 81774224;??????????;https://www.cian.ru/sale/flat/291366248/;??????;7;23;1;44,5;23 000 000,00 ?;2024;;??? ???????;;18,8 ?²;????????-????????; ?????? ????????;;????????
ID 105258274;??????????;https://www.cian.ru/sale/flat/292012165/;??????;16;20;1;38,5;19 500 000,00 ?;2024;;??? ???????;11,1 ?²;19,4 ?²;???????-???????????;??????? ;;???????????
ID 143380;???????;https://www.cian.ru/sale/flat/208500430/;??????;11;51;1;45,5;22 000 000,00 ?;2024;;??? ???????;28 ?²;;???????????;?????????? ??????;;????????
ID 12770133;???????;https://www.cian.ru/sale/flat/257898164/;??????;10;51;1;30,0;16 500 000,00 ?;2024;;??? ???????;15 ?²;10 ?²;???????????;?????????? ??????;;????????
ID 12770133;???????;https://www.cian.ru/sale/flat/266694478/;??????;4;8;1;34,0;22 000 000,00 ?;2024;;????????;10 ?²;17 ?²;?????????????;????????? ????????;;????????? ????????
???;??????????;https://www.cian.ru/sale/flat/268113403/;??????;3;44;1;45,0;26 696 025,00 ?;2024;?????????-?????????;??? ???????, ????????????, ????????;19 ?²;14,9 ?²;????????-????????;?2/2;?2/2;????????
VIP Apartments Moscow;????? ?? ????????????;https://www.cian.ru/sale/flat/268197144/;??????;50;55;1;42,6;26 000 000,00 ?;2024;;??? ???????;;11,8 ?²;??????? ????; 4-? ???????? ????;12?1;??????? ????
Intermark Real Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/274401648/;??????;5;13;1;34,8;17 500 000,00 ?;2024;;;25,8 ?²;4 ?²;???????????;?????????? ?????;3;????????
?????? ?????;????? ?? ????????????;https://www.cian.ru/sale/flat/274550190/;??????;4;16;1;47,8;22 000 000,00 ?;2024;;??? ???????;16,4 ?²;18,6 ?²;????????-????????;????? ???????? ??????;4-? ??-?;???????? 
ID 99844512;???????? ?????;https://www.cian.ru/sale/flat/293990762/;??????;2;14;1;42,0;7 000 000,00 ?;2024;;??? ???????;18 ?²;12 ?²;; ????????;;??????????????
ID 107503651;???????? ?????;https://www.cian.ru/sale/flat/294835620/;??????;7;11;1;31,0;15 500 000,00 ?;2024;;??? ???????;27 ?²;4 ?²;???????????; ?????? ????????;10?;???????????
?? ????????;????? ?? ????????????;https://www.cian.ru/sale/flat/294949724/;??????;29;44;1;49,5;27 000 000,00 ?;2024;;????????;17 ?²;9 ?²;????????-????????;?2/1;?2/1;????????
????-????????????;????? ?? ????????????;https://www.cian.ru/sale/flat/294964520/;??????;24;25;1;40,2;10 500 000,00 ?;2024;;????????;;;???????????;???????????????? ;??45?3;????????
??????? ???????;???????;https://www.cian.ru/sale/flat/295092952/;??????;11;24;1;24,7;8 600 000,00 ?;2024;;;;;????????? ????;???????? ??????;10?;?????????
Capital Mars;????? ?? ????????????;https://www.cian.ru/sale/flat/295104378/;??????;8;11;1;44,7;21 000 000,00 ?;2024;;;14,5 ?²;16,1 ?²;???????????;;;????????
??? ?????;????? ?? ????????????;https://www.cian.ru/sale/flat/295155639/;??????;11;20;1;32,7;17 400 000,00 ?;2024;;????????;;;????????-????????; ????????;;????????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/295203214/;??????;9;16;1;32,9;8 500 000,00 ?;2024;;????????;22,3 ?²;3 ?²;??????????????;???????? ??;?3;??????
Century 21 Premium Property;????? ?? ????????????;https://www.cian.ru/sale/flat/295210015/;??????;14;23;1;41,1;21 200 000,00 ?;2024;;??? ???????;12,5 ?²;16,1 ?²;????????-????????;????? ???????? ??????;2-? ??-?;???????? 
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/295294901/;??????;2;25;1;36,0;8 500 000,00 ?;2024;;??? ???????;17,2 ?²;9 ?²;???????;???-????????? ??;?3;???????
??????? ???????;??????????;https://www.cian.ru/sale/flat/295316650/;??????;3;22;1;49,9;32 779 310,00 ?;2024;??????????;??? ???????;14 ?²;11,2 ?²;??????????-?????????;??????? ??-?;;???????
??????? ???????;??????????;https://www.cian.ru/sale/flat/295316664/;??????;3;22;1;51,9;34 217 670,00 ?;2024;??????????;??? ???????;14,3 ?²;10,1 ?²;??????????-?????????;??????? ??-?;;???????
CENTURY 21 ????????? ????????????;????? ?? ????????????;https://www.cian.ru/sale/flat/295795176/;??????;4;24;1;34,6;10 800 000,00 ?;2024;;??? ???????;10,9 ?²;16,9 ?²;????????;;?15;????????
??????-????????????;????? ?? ????????????;https://www.cian.ru/sale/flat/296060079/;??????;5;21;1;40,0;12 000 000,00 ?;2024;;??? ???????;20 ?²;11 ?²;?????????????;????????????? ??????;4?3;?????????
Century 21 Premium Property;????? ?? ????????????;https://www.cian.ru/sale/flat/296522785/;??????;15;20;1;50,0;26 000 000,00 ?;2024;;??? ???????;30 ?²;8 ?²;???????;??????????????????? ??-?;;???????????
???;??????????;https://www.cian.ru/sale/flat/296524882/;??????;5;20;1;32,7;20 674 412,00 ?;2024;?????????-?????????;??? ???????, ????????????, ????????;12 ?²;9,7 ?²;????????-????????;?2/1;?2/1;??????????????
Today Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/297125439/;??????;3;7;1;58,0;46 400 000,00 ?;2024;;????????;;25,4 ?²;?????????????;????????????? ;82;??????????
????????;????? ?? ????????????;https://www.cian.ru/sale/flat/297543621/;??????;9;28;1;37,7;22 900 000,00 ?;2024;;??? ???????;16,8 ?²;10,4 ?²;???????; ????????? ????????;21;?????????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/297695989/;??????;19;39;1;39,8;23 500 000,00 ?;2024;;????????;14,7 ?²;11,5 ?²;?????????;;;???????????? ???
TimeProperty;????? ?? ????????????;https://www.cian.ru/sale/flat/297704043/;??????;15;21;1;36,5;17 500 000,00 ?;2024;;??? ???????;;;???????????;????????????? ???????;?1/2;?????? ???????
?? ??????? ?. ?.;????? ?? ????????????;https://www.cian.ru/sale/flat/297834365/;??????;3;24;1;34,9;11 580 000,00 ?;2024;;??? ???????;24,2 ?²;4,5 ?²;????????;;?15;????????
?? ??????? ?. ?.;????? ?? ????????????;https://www.cian.ru/sale/flat/297834524/;??????;12;24;1;34,1;11 780 000,00 ?;2024;;??? ???????;24,2 ?²;4,5 ?²;????????;;?15;????????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/297844513/;??????;2;25;1;46,3;16 990 000,00 ?;2024;;??? ???????;16,5 ?²;17 ?²;???????????;2-? ??.;?6.1;???
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/297903376/;??????;24;25;1;37,8;11 500 000,00 ?;2024;;????????;18,4 ?²;10,2 ?²;?????????;;;?????????
ID 24101793;???????? ?????;https://www.cian.ru/sale/flat/298128669/;??????;12;16;1;33,2;8 800 000,00 ?;2024;;????????;;;??????????????;???????? ??;?3;??????????????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/298222736/;??????;9;12;1;32,9;8 400 000,00 ?;2024;;????????;22,3 ?²;3 ?²;??????????????;???????? ??;?3;??????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/298416334/;??????;13;32;1;41,5;21 890 000,00 ?;2024;;;15,8 ?²;17,1 ?²;????????-????????;?????????? ??????;10?;????????
ID 113155068;???????? ?????;https://www.cian.ru/sale/flat/298417451/;??????;12;41;1;37,7;20 500 000,00 ?;2024;;??? ???????;14 ?²;13 ?²;???????????;??????????? ;59?7;????????????
ID 13021240;???????;https://www.cian.ru/sale/flat/298519966/;??????;21;29;1;38,9;19 400 000,00 ?;2024;;;12 ?²;11 ?²;???????; ????????? ????????;21;?????????
???;??????????;https://www.cian.ru/sale/flat/298525276/;??????;24;24;1;33,9;14 685 513,00 ?;2024;??????????;??? ???????, ????????, ???????? ? ???????;12 ?²;15,6 ?²;????????;???????????????? ;17;????????
???;??????????;https://www.cian.ru/sale/flat/298525280/;??????;24;24;1;39,0;16 788 954,00 ?;2024;??????????;??? ???????, ????????, ???????? ? ???????;11,8 ?²;19,3 ?²;????????;???????????????? ;17;????????
ID 99674200;????? ?? ????????????;https://www.cian.ru/sale/flat/298598784/;??????;19;41;1;54,9;30 000 000,00 ?;2024;;??? ???????;;21,3 ?²;???????;1-? ?????????? ??????;??6;???????????
????????? ???;????? ?? ????????????;https://www.cian.ru/sale/flat/298630096/;??????;14;16;1;29,4;8 000 000,00 ?;2024;;;10,1 ?²;9,1 ?²;;;?18-19;??????? ???????? ???????
ID 100339604;???????? ?????;https://www.cian.ru/sale/flat/298676667/;??????;10;23;1;38,6;9 700 000,00 ?;2024;;????????;18 ?²;12 ?²;;;?2.4;?????????
???? ??????????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/299010968/;??????;3;20;1;39,6;25 000 000,00 ?;2024;;????????;16,3 ?²;13,5 ?²;????????-????????;?2/1;?2/1;????????
??? ?????;????? ?? ????????????;https://www.cian.ru/sale/flat/299015708/;??????;15;44;1;60,9;28 500 000,00 ?;2024;;??? ???????;13,5 ?²;25,1 ?²;????????-????????; ????????;;????????
ID 82541965;??????????;https://www.cian.ru/sale/flat/277904760/;??????;2;23;1;41,0;19 800 000,00 ?;2024;;??? ???????;14 ?²;16 ?²;????????-????????; ?????? ????????;;???????? 
??????????? ?????;????? ?? ????????????;https://www.cian.ru/sale/flat/283337630/;??????;16;23;1;43,4;30 000 000,00 ?;2024;;;12,8 ?²;17,1 ?²;????????-????????; ?????? ????????;;???????? 
????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/309097116/;??????;2;55;;31,8;15 300 000,00 ?;2024;;??? ???????;14,5 ?²;10,1 ?²;??????? ????; 4-? ???????? ????;12?1;??????? ????
??-???????????;??????????;https://www.cian.ru/sale/flat/309098025/;??????;2;20;2;93,9;27 762 380,00 ?;2024;?????????-?????????, ??????????;??? ???????, ????????;29,1 ?²;25 ?²;???????????;???????????? ;48?1;???????
ID 28222127;???????;https://www.cian.ru/sale/flat/309097999/;??????;6;10;1;46,0;6 570 000,00 ?;2024;;????????;21 ?²;10 ?²;;;41?4;????????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/309097167/;??????;22;22;3;85,0;20 500 000,00 ?;2024;;;50,6 ?²;13 ?²;; ???? ?????????;11?3;???????????
ID 724171;??????????;https://www.cian.ru/sale/flat/309097145/;??????;5;24;3;96,0;46 000 000,00 ?;2024;;??? ???????;44 ?²;15 ?²;??????; ???????????;2?2;??????????? ????
?????? ????????;????? ?? ????????????;https://www.cian.ru/sale/flat/309097051/;??????;4;18;5;192,0;240 000 000,00 ?;2024;;;;18 ?²;???????;2-? ?????????????? ????????;5;?????????
??????? ????;????? ?? ????????????;https://www.cian.ru/sale/flat/309096922/;??????;13;33;2;35,2;19 300 000,00 ?;2024;;;20,2 ?²;10 ?²;????????-????????;?????????? ??????;10?1;????????
Verges of estate;????? ?? ????????????;https://www.cian.ru/sale/flat/309096528/;??????;8;16;1;45,0;25 900 000,00 ?;2024;;;;;????????? ????;????????? ??????;2;????
i-deal;????? ?? ????????????;https://www.cian.ru/sale/flat/309095653/;??????;6;25;1;23,8;9 200 000,00 ?;2024;;;13,1 ?²;5,7 ?²;?????????????;????????? ????????;2/2?2;?????????????
?? ????????;????? ?? ????????????;https://www.cian.ru/sale/flat/309093057/;??????;12;12;3;69,8;18 800 000,00 ?;2024;;;33,8 ?²;16 ?²;; ??????? ????????;6;?????????
????? ?????????;????? ?? ????????????;https://www.cian.ru/sale/flat/309092924/;??????;3;8;1;31,7;7 900 000,00 ?;2024;;????????;11,9 ?²;8,8 ?²;; 3-? ???????????????;15?2;????????
????????;????? ?? ????????????;https://www.cian.ru/sale/flat/309092747/;??????;15;17;3;59,0;13 500 000,00 ?;2024;;????????;38 ?²;7 ?²;??????????????;????????????? ?????;229??2;??????????????
Nikoliers.??????? ? ????????? ????????????;????? ?? ????????????;https://www.cian.ru/sale/flat/309086864/;??????;8;10;2;49,9;17 500 000,00 ?;2024;;;;3 ?²;???????????;???????????? ;54;???????
Nikoliers.??????? ? ????????? ????????????;????? ?? ????????????;https://www.cian.ru/sale/flat/309087849/;??????;8;10;2;64,4;21 252 000,00 ?;2024;;;;3 ?²;???????????;???????????? ;54;???????
??????? ???????;???????;https://www.cian.ru/sale/flat/309091047/;??????;4;17;1;46,2;22 000 000,00 ?;2024;;??? ???????;17,8 ?²;16,3 ?²;???????????;?????????? ????? ??????;11?2;???
MR Group;??????????;https://www.cian.ru/sale/flat/309090519/;??????;7;30;1;37,4;13 660 350,00 ?;2024;?????????-?????????, ??????????;????????????;13,2 ?²;16,3 ?²;????????????;????????????? ????????;32/5?3;????????????? ????????
MR Group;??????????;https://www.cian.ru/sale/flat/309090516/;??????;3;30;1;36,4;17 127 149,00 ?;2024;?????????-?????????, ??????????;????????????;13 ?²;16,1 ?²;????????????;????????????? ????????;32/5?3;????????????? ????????
???????;????? ?? ????????????;https://www.cian.ru/sale/flat/309089812/;??????;9;27;2;80,4;32 000 000,00 ?;2024;;??? ???????;50 ?²;23 ?²;???????????;?????????? ??????;39?5;????????
